Player Name,Stat Type,Stats Data
William Osula,Miscellaneous Stats,Newcastle United,"['18', 'dk DEN', 'FW', '22-055', '24', '0', '0', '0', '2', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '']"
Anthony Gordon,Miscellaneous Stats,Newcastle United,"['10', 'eng ENG', 'LW', '24-216', '66', '0', '0', '0', '0', '2', '0', '1', '0', '2', '0', '0', '0', '2', '0', '1', '0.0']"
Kieran Trippier,Miscellaneous Stats,Newcastle United,"['2', 'eng ENG', 'RB,LW', '35-009', '24', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '1', '0', '100.0']"
Jacob Murphy,Miscellaneous Stats,Newcastle United,"['23', 'eng ENG', 'RW', '30-216', '66', '0', '0', '0', '0', '0', '1', '3', '0', '0', '0', '0', '0', '2', '0', '0', '']"
Anthony Elanga,Miscellaneous Stats,Newcastle United,"['20', 'se SWE', 'RM,RW', '23-154', '24', '0', '0', '0', '0', '1', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '']"
Joelinton,Miscellaneous Stats,Newcastle United,"['7', 'br BRA', 'LM', '29-045', '89', '1', '0', '0', '2', '0', '0', '0', '2', '0', '0', '0', '0', '8', '2', '3', '40.0']"
Harvey Barnes,Miscellaneous Stats,Newcastle United,"['11', 'eng ENG', 'LM', '27-293', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '']"
Sandro Tonali,Miscellaneous Stats,Newcastle United,"['8', 'it ITA', 'CM', '25-143', '90', '0', '0', '0', '0', '0', '0', '8', '2', '1', '0', '0', '0', '0', '1', '1', '50.0']"
Bruno Guimarães,Miscellaneous Stats,Newcastle United,"['39', 'br BRA', 'RM,CM', '27-316', '90', '0', '0', '0', '1', '3', '0', '0', '0', '1', '0', '0', '0', '1', '3', '1', '75.0']"
Dan Burn,Miscellaneous Stats,Newcastle United,"['33', 'eng ENG', 'LB,CB', '33-142', '90', '1', '0', '0', '3', '0', '0', '1', '1', '2', '0', '0', '0', '1', '7', '6', '53.8']"
Sven Botman,Miscellaneous Stats,Newcastle United,"['4', 'nl NED', 'CB', '25-259', '90', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '2', '6', '3', '66.7']"
Malick Thiaw,Miscellaneous Stats,Newcastle United,"['12', 'de GER', 'CB', '24-051', '90', '0', '0', '0', '0', '0', '0', '0', '1', '1', '0', '0', '0', '4', '4', '2', '66.7']"
Valentino Livramento,Miscellaneous Stats,Newcastle United,"['21', 'eng ENG', 'RB,LB', '22-320', '76', '0', '0', '0', '0', '2', '0', '1', '0', '0', '0', '0', '0', '6', '0', '0', '']"
Jamaal Lascelles,Miscellaneous Stats,Newcastle United,"['6', 'eng ENG', 'CB', '31-321', '14', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '100.0']"
Nick Pope,Miscellaneous Stats,Newcastle United,"['1', 'eng ENG', 'GK', '33-162', '90', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '2', '1', '0', '100.0']"
Nick Woltemade,Summary,Newcastle United,"['27', 'de GER', 'FW', '23-226', '66', '1', '0', '0', '0', '1', '1', '0', '0', '14', '0', '1', '0', '0.3', '0.3', '0.0', '0', '0', '9', '10', '90.0', '1', '9', '1', '0', '0']"
William Osula,Summary,Newcastle United,"['18', 'dk DEN', 'FW', '22-055', '24', '0', '0', '0', '0', '0', '0', '0', '0', '2', '0', '0', '0', '0.0', '0.0', '0.0', '0', '0', '1', '1', '100.0', '0', '2', '0', '0', '0']"
